178,199,200,181,215,230,210,180
181,203,199,184,212,231,215,171
188,208,198,185,208,225,212,175
185,210,194,180,210,229,210,170
180,202,195,188,220,233,211,171
182,202,195,164,221,213,209,177
190,206,192,169,226,216,211,178
190,204,172,177,207,218,211,177
188,205,169,183,212,215,213,175
187,214,172,188,220,223,220,184
181,212,176,197,226,224,223,190
178,221,185,203,225,227,221,195
181,219,190,204,228,232,223,206
184,212,190,200,228,231,221,201
182,208,190,198,227,230,225,201
184,208,195,200,232,231,229,201
184,213,198,201,230,233,214,205
193,219,197,200,231,234,218,202
193,225,199,196,202,232,220,201
200,225,205,195,208,190,226,202
203,230,206,196,216,198,233,200
163,233,207,197,221,196,235,202
163,193,208,199,226,200,232,186
162,201,208,205,226,199,235,185
171,206,207,215,230,200,234,188
174,207,208,212,228,203,237,189
181,216,205,214,230,214,241,195
177,218,205,216,224,215,238,195
170,225,204,221,224,214,235,195
172,227,205,185,230,213,234,190
174,227,205,189,233,212,239,184
183,234,202,199,236,219,220,188
188,235,205,205,219,213,226,190
186,238,209,205,228,216,228,187
187,239,210,208,237,215,228,192
186,241,213,211,234,221,234,172
180,243,213,214,236,225,237,178
177,250,208,216,234,226,244,178
172,254,208,205,235,229,250,176
176,263,179,206,242,209,256,177
174,261,183,211,246,213,249,182
176,261,102,213,248,209,254,184
174,267,184,212,245,204,249,190
174,269,185,214,245,201,253,195
183,275,188,219,229,213,251,194
183,272,194,222,219,213,217,192
188,270,199,215,214,220,215,199
186,273,206,180,216,217,226,209
205,275,216,126,219,223,225,209
199,279,212,185,223,226,230,204
200,282,207,186,217,230,230,205
174,255,217,196,221,235,232,214
178,257,224,196,219,237,232,170
177,259,233,196,219,243,228,169
178,261,230,198,221,244,234,170
182,260,230,199,230,236,241,168
191,264,238,199,232,233,244,172
187,265,249,198,234,238,250,177
194,268,249,202,241,241,250,179
197,266,248,212,239,242,255,179
